,nature_score
197,20.726953506469727
198,13.518501281738281
199,19.295812606811523
200,15.3646240234375
201,16.288421630859375
202,18.392559051513672
203,14.427656173706055
204,16.514245986938477
205,10.154651641845703
206,16.42685890197754
207,18.339948654174805
208,16.38114356994629
209,13.216130256652832
210,17.24951171875
211,18.43203353881836
212,17.15867805480957
213,18.01411247253418
214,17.291112899780273
215,18.830337524414062
216,19.411941528320312
217,15.196760177612305
218,19.074626922607422
219,14.884998321533203
220,14.48178482055664
221,17.010042190551758
222,18.192495346069336
223,16.436870574951172
224,13.921049118041992
225,16.36113166809082
226,13.592554092407227
227,17.36063575744629
228,15.19859504699707
229,18.224529266357422
230,18.47300148010254
231,14.483855247497559
232,15.588994026184082
233,16.90595245361328
234,11.435754776000977
235,18.136306762695312
236,15.834117889404297
237,19.084806442260742
238,8.67354679107666
239,18.94508934020996
240,15.258358001708984
241,18.84588623046875
242,17.103727340698242
243,13.925226211547852
244,19.643007278442383
245,17.330698013305664
246,17.230287551879883
247,15.120977401733398
248,17.490243911743164
249,15.919909477233887
250,19.23003578186035
251,18.593463897705078
252,14.944365501403809
253,15.530147552490234
254,18.014368057250977
255,13.990700721740723
256,20.32314682006836
257,16.957191467285156
258,17.399202346801758
259,11.522266387939453
260,16.882959365844727
261,15.066349029541016
262,20.08314323425293
263,16.280170440673828
264,19.441417694091797
265,15.670854568481445
266,13.572371482849121
267,20.452625274658203
268,17.260120391845703
269,16.882442474365234
270,12.239113807678223
271,17.614240646362305
272,12.979589462280273
273,16.466415405273438
274,18.434370040893555
275,15.0679931640625
276,14.654128074645996
277,12.034845352172852
278,14.690592765808105
279,16.70208740234375
280,15.619281768798828
281,15.954446792602539
282,13.563631057739258
283,15.206405639648438
284,17.224401473999023
285,15.473970413208008
286,10.456707954406738
287,13.521159172058105
288,16.195417404174805
289,15.892166137695312
290,14.847038269042969
291,15.446403503417969
292,16.361536026000977
293,15.911310195922852
294,17.109601974487305
295,18.89264488220215
296,14.391851425170898
297,15.843018531799316
298,16.882776260375977
299,16.290117263793945
300,13.100317001342773
301,18.320409774780273
302,12.927173614501953
303,18.9051513671875
304,17.746742248535156
305,18.91985321044922
306,15.856246948242188
307,16.940595626831055
308,17.125757217407227
309,18.20189094543457
310,13.320683479309082
311,18.71588134765625
312,21.028043746948242
313,16.290119171142578
314,14.87893009185791
315,16.11740493774414
316,16.25129508972168
317,20.25461196899414
318,13.654871940612793
319,15.406646728515625
320,17.13633918762207
321,17.71451759338379
322,16.48009490966797
323,19.202207565307617
324,17.635311126708984
325,16.60930633544922
326,14.12333869934082
327,13.38584041595459
328,14.291217803955078
329,16.44231605529785
330,16.460193634033203
331,16.63863182067871
332,19.390108108520508
333,14.187443733215332
334,15.39882755279541
335,15.448935508728027
336,15.866973876953125
337,16.169906616210938
338,13.837931632995605
339,18.798551559448242
340,12.733135223388672
341,16.317352294921875
342,14.057397842407227
343,19.664608001708984
344,16.128902435302734
345,15.495927810668945
346,16.17461395263672
347,17.706762313842773
348,20.138092041015625
349,15.966944694519043
350,18.243186950683594
351,15.708892822265625
352,15.585289001464844
353,16.281213760375977
354,16.814332962036133
355,13.594858169555664
356,18.575532913208008
357,17.02680015563965
358,14.09727668762207
359,12.561753273010254
360,16.041284561157227
361,16.766496658325195
362,15.721809387207031
363,12.089319229125977
364,15.74815845489502
365,15.275540351867676
366,17.393781661987305
367,16.659984588623047
368,15.826189041137695
369,17.932971954345703
370,16.40496063232422
371,17.955385208129883
372,17.445653915405273
373,16.19317626953125
374,17.153303146362305
375,17.968854904174805
376,15.945747375488281
377,15.157964706420898
378,16.21648406982422
379,16.714326858520508
380,17.711029052734375
381,21.617341995239258
382,11.402483940124512
383,12.132089614868164
384,14.653314590454102
385,13.674089431762695
386,15.545173645019531
387,15.23270034790039
388,13.211878776550293
389,13.592194557189941
390,16.032146453857422
391,18.557701110839844
392,14.848564147949219
393,18.095426559448242
394,18.487531661987305
395,12.204702377319336
396,14.192340850830078
397,19.303712844848633
398,17.393707275390625
399,13.544958114624023
400,13.009037971496582
401,15.204521179199219
402,18.401714324951172
403,10.824923515319824
404,13.525202751159668
405,14.816869735717773
406,18.615474700927734
407,16.28691291809082
408,18.0256404876709
409,18.520986557006836
410,15.516141891479492
411,16.029542922973633
412,15.562625885009766
413,13.962907791137695
414,15.141955375671387
415,17.42308235168457
416,12.743266105651855
417,14.68195915222168
418,15.213810920715332
419,19.550613403320312
420,16.621854782104492
421,12.906323432922363
422,17.338058471679688
423,15.723640441894531
424,13.694583892822266
425,18.170557022094727
426,13.3013334274292
427,15.699074745178223
428,17.86037826538086
429,16.858774185180664
430,16.878324508666992
431,19.872549057006836
432,17.538076400756836
433,14.8053560256958
434,16.5008602142334
435,17.135892868041992
436,18.493345260620117
437,14.361088752746582
438,18.516698837280273
439,16.84099006652832
440,17.86260414123535
441,17.929607391357422
442,14.689675331115723
443,11.474271774291992
444,14.361167907714844
445,15.50838851928711
446,15.81966495513916
447,16.401805877685547
448,15.588638305664062
449,18.398393630981445
450,17.690929412841797
451,12.82974910736084
452,10.544916152954102
453,18.363697052001953
454,17.080419540405273
