,nature_score
360,8.769631385803223
361,8.879936218261719
362,8.530338287353516
363,9.24924373626709
364,2.3377931118011475
365,8.658544540405273
366,9.126712799072266
367,9.088093757629395
368,9.285928726196289
369,9.131879806518555
370,9.04903793334961
371,9.20248794555664
372,9.033982276916504
373,8.732500076293945
374,8.962882995605469
375,8.454423904418945
376,9.108234405517578
377,9.101011276245117
378,9.077098846435547
379,8.734386444091797
380,9.199615478515625
381,8.896300315856934
382,8.608121871948242
383,9.02690315246582
384,9.065385818481445
385,8.726381301879883
386,8.899301528930664
387,8.768311500549316
388,8.633193016052246
389,8.250554084777832
390,8.520405769348145
391,9.073436737060547
392,8.790170669555664
393,8.730003356933594
394,8.789304733276367
395,8.371475219726562
396,9.698492050170898
397,8.876443862915039
398,9.259112358093262
399,8.566802978515625
400,8.925989151000977
401,8.906770706176758
402,9.138826370239258
403,9.441747665405273
404,9.009254455566406
405,9.01668643951416
406,9.118640899658203
407,8.482492446899414
408,8.690438270568848
409,8.834930419921875
410,8.85349178314209
411,8.751120567321777
412,9.07341194152832
413,9.322522163391113
414,9.036046028137207
415,9.123157501220703
416,9.522225379943848
417,8.872171401977539
418,6.766372203826904
419,8.705912590026855
420,10.676445960998535
421,4.867649078369141
422,9.35511302947998
423,9.003395080566406
424,8.975902557373047
425,10.092886924743652
426,9.13218879699707
427,9.021280288696289
428,8.315816879272461
429,9.046152114868164
430,9.539968490600586
431,8.864890098571777
432,9.678877830505371
433,8.104537963867188
434,8.990729331970215
435,9.164871215820312
436,9.143794059753418
437,9.089621543884277
438,8.297780990600586
439,8.331953048706055
440,9.182458877563477
441,8.476250648498535
442,8.4968900680542
443,8.908859252929688
444,9.264058113098145
445,8.99241828918457
446,9.568075180053711
447,8.777043342590332
448,8.81965160369873
449,8.825559616088867
450,7.092418670654297
451,5.711300849914551
452,8.26824951171875
453,8.315113067626953
454,9.173460006713867
455,8.80197525024414
456,8.442178726196289
457,9.22365951538086
458,8.578818321228027
459,8.34487247467041
460,8.927545547485352
461,8.732294082641602
462,8.730741500854492
463,9.652968406677246
464,8.642065048217773
465,8.950017929077148
466,8.96916389465332
467,9.121940612792969
468,9.607837677001953
469,9.048693656921387
470,8.537535667419434
471,8.654208183288574
