,nature_scores
401,18.395145416259766
402,37.25830841064453
403,22.198068618774414
404,14.880436897277832
405,10.818852424621582
406,14.39992618560791
407,31.462034225463867
408,42.616722106933594
409,25.74777603149414
410,23.649860382080078
411,25.05072593688965
412,22.120412826538086
413,21.397348403930664
414,7.216233253479004
415,9.95887279510498
416,25.73139190673828
417,17.387842178344727
418,39.4578857421875
419,9.585028648376465
420,32.39917755126953
421,4.554673194885254
422,8.508203506469727
423,22.007099151611328
424,29.147167205810547
425,15.64775276184082
426,4.821917533874512
427,10.068461418151855
428,12.975361824035645
429,19.39049530029297
430,15.482029914855957
431,10.885712623596191
432,25.712779998779297
433,19.877260208129883
434,14.12070083618164
435,6.260069847106934
436,14.830018043518066
437,9.476624488830566
438,11.951050758361816
439,15.79151439666748
440,16.0506649017334
441,26.568239212036133
442,17.11872673034668
443,13.259490013122559
444,31.09447479248047
445,17.832931518554688
446,7.93874979019165
447,16.75514030456543
448,12.509848594665527
449,12.93455696105957
450,25.168275833129883
451,14.254315376281738
452,10.78172779083252
453,9.13911247253418
454,20.63337516784668
455,9.020258903503418
456,12.657670021057129
457,25.08880043029785
458,15.451863288879395
459,10.03361988067627
460,10.6558256149292
461,11.346189498901367
462,17.10422706604004
463,15.372706413269043
464,19.907556533813477
465,8.481689453125
466,20.62845802307129
467,22.361347198486328
468,17.43811798095703
469,32.69911193847656
470,13.237435340881348
471,14.19791316986084
472,19.380277633666992
473,2.3879973888397217
474,27.598421096801758
475,21.07823944091797
476,21.686498641967773
477,13.57879638671875
478,30.244556427001953
479,9.538867950439453
480,11.364306449890137
481,21.96900177001953
482,37.674190521240234
483,12.15112590789795
484,22.179597854614258
485,27.3238468170166
486,30.979673385620117
487,14.280130386352539
488,10.87517261505127
489,19.731578826904297
490,22.464685440063477
491,4.115985870361328
492,28.595815658569336
493,14.133622169494629
494,30.85159683227539
495,19.38629722595215
496,9.973335266113281
497,9.297904014587402
498,29.93147087097168
499,11.759940147399902
500,26.62530517578125
501,23.65907096862793
502,15.773175239562988
503,13.916884422302246
504,17.09160041809082
505,10.186159133911133
506,10.914982795715332
507,31.15190315246582
508,18.08009910583496
509,24.271390914916992
510,7.9214043617248535
511,24.155046463012695
512,19.77747344970703
513,16.946748733520508
514,31.12761688232422
515,15.070808410644531
516,28.050020217895508
517,24.09157371520996
518,30.4543399810791
519,10.890557289123535
520,13.360230445861816
521,28.87257957458496
522,19.341136932373047
523,33.165740966796875
524,3.240277051925659
525,11.488299369812012
526,25.579544067382812
527,23.247329711914062
528,20.57452392578125
529,28.05095100402832
530,20.08994483947754
531,22.58385467529297
532,15.626935005187988
533,22.68133544921875
534,13.580680847167969
535,14.424765586853027
536,9.295464515686035
537,24.0203857421875
538,15.437195777893066
539,5.652872562408447
540,9.935782432556152
541,28.748823165893555
542,25.441083908081055
543,32.23088455200195
544,26.963899612426758
545,12.994577407836914
546,19.331424713134766
547,17.569278717041016
548,11.246190071105957
549,9.190141677856445
550,14.22765827178955
551,31.567346572875977
552,13.829607009887695
553,8.161808013916016
554,11.54293155670166
555,25.293102264404297
556,26.284757614135742
557,17.62234115600586
558,25.346742630004883
559,0.09014756232500076
560,7.214423179626465
561,26.666101455688477
562,9.879395484924316
563,30.36918067932129
564,5.464000701904297
565,31.95747947692871
566,13.612112998962402
567,27.94620132446289
568,30.926565170288086
569,13.088027000427246
570,26.05777931213379
571,19.4386043548584
572,7.240638732910156
573,16.775373458862305
574,14.35381031036377
575,9.974747657775879
576,20.601924896240234
577,14.591639518737793
578,12.43913745880127
579,16.037694931030273
580,23.612451553344727
581,19.074655532836914
582,11.171290397644043
583,19.059497833251953
584,11.328937530517578
585,10.490272521972656
586,25.04029655456543
587,11.427671432495117
588,13.453680992126465
589,21.170183181762695
590,44.07232666015625
591,14.400701522827148
592,21.995798110961914
593,30.491695404052734
594,13.074481010437012
595,9.365983963012695
596,6.190227031707764
597,21.645734786987305
598,35.9508171081543
599,5.972527980804443
600,9.559739112854004
601,11.338530540466309
602,16.228042602539062
603,11.176203727722168
604,9.26256275177002
605,14.411770820617676
606,19.122995376586914
607,12.131429672241211
608,12.844433784484863
609,7.69644021987915
610,7.966598033905029
611,31.90690040588379
612,13.816927909851074
